Sequence,Potential_V,Current_A
213,0.013,-3.044e-05
214,0.014,-3.029e-05
215,0.015,-3.013e-05
216,0.016,-2.997e-05
217,0.017,-2.982e-05
218,0.018,-2.968e-05
219,0.019,-2.955e-05
220,0.02,-2.941e-05
221,0.021,-2.927e-05
222,0.022,-2.912e-05
223,0.023,-2.897e-05
224,0.024,-2.882e-05
225,0.025,-2.869e-05
226,0.026,-2.856e-05
227,0.027,-2.843e-05
228,0.028,-2.831e-05
229,0.029,-2.817e-05
230,0.03,-2.803e-05
231,0.031,-2.787e-05
232,0.032,-2.771e-05
233,0.033,-2.756e-05
234,0.034,-2.741e-05
235,0.035,-2.726e-05
236,0.036,-2.712e-05
237,0.037,-2.698e-05
238,0.038,-2.683e-05
239,0.039,-2.668e-05
240,0.04,-2.653e-05
241,0.041,-2.638e-05
242,0.042,-2.624e-05
243,0.043,-2.611e-05
244,0.044,-2.598e-05
245,0.045,-2.586e-05
246,0.046,-2.573e-05
247,0.047,-2.559e-05
248,0.048,-2.542e-05
249,0.049,-2.525e-05
250,0.05,-2.508e-05
251,0.051,-2.492e-05
252,0.052,-2.476e-05
253,0.053,-2.462e-05
254,0.054,-2.446e-05
255,0.055,-2.431e-05
256,0.056,-2.415e-05
257,0.057,-2.399e-05
258,0.058,-2.384e-05
259,0.059,-2.369e-05
260,0.06,-2.355e-05
261,0.061,-2.341e-05
262,0.062,-2.326e-05
263,0.063,-2.309e-05
264,0.064,-2.292e-05
265,0.065,-2.274e-05
266,0.066,-2.257e-05
267,0.067,-2.241e-05
268,0.068,-2.225e-05
269,0.069,-2.209e-05
270,0.07,-2.192e-05
271,0.071,-2.175e-05
272,0.072,-2.158e-05
273,0.073,-2.141e-05
274,0.074,-2.126e-05
275,0.075,-2.112e-05
276,0.076,-2.098e-05
277,0.077,-2.082e-05
278,0.078,-2.065e-05
279,0.079,-2.046e-05
280,0.08,-2.027e-05
281,0.081,-2.008e-05
282,0.082,-1.99e-05
283,0.083,-1.972e-05
284,0.084,-1.955e-05
285,0.085,-1.936e-05
286,0.086,-1.918e-05
287,0.087,-1.899e-05
288,0.088,-1.881e-05
289,0.089,-1.865e-05
290,0.09,-1.848e-05
291,0.091,-1.83e-05
292,0.092,-1.812e-05
293,0.093,-1.793e-05
294,0.094,-1.774e-05
295,0.095,-1.755e-05
296,0.096,-1.736e-05
297,0.097,-1.716e-05
298,0.098,-1.697e-05
299,0.099,-1.676e-05
300,0.1,-1.656e-05
301,0.101,-1.637e-05
302,0.102,-1.618e-05
303,0.103,-1.599e-05
304,0.104,-1.579e-05
305,0.105,-1.557e-05
306,0.106,-1.535e-05
307,0.107,-1.513e-05
308,0.108,-1.492e-05
309,0.109,-1.47e-05
310,0.11,-1.449e-05
311,0.111,-1.427e-05
312,0.112,-1.405e-05
313,0.113,-1.383e-05
314,0.114,-1.362e-05
315,0.115,-1.34e-05
316,0.116,-1.317e-05
317,0.117,-1.294e-05
318,0.118,-1.271e-05
319,0.119,-1.248e-05
320,0.12,-1.224e-05
321,0.121,-1.201e-05
322,0.122,-1.177e-05
323,0.123,-1.153e-05
324,0.124,-1.13e-05
325,0.125,-1.106e-05
326,0.126,-1.08e-05
327,0.127,-1.054e-05
328,0.128,-1.028e-05
329,0.129,-1.002e-05
330,0.13,-9.76e-06
331,0.131,-9.501e-06
332,0.132,-9.24e-06
333,0.133,-8.976e-06
334,0.134,-8.709e-06
335,0.135,-8.435e-06
336,0.136,-8.157e-06
337,0.137,-7.88e-06
338,0.138,-7.602e-06
339,0.139,-7.322e-06
340,0.14,-7.042e-06
341,0.141,-6.76e-06
342,0.142,-6.476e-06
343,0.143,-6.188e-06
344,0.144,-5.892e-06
345,0.145,-5.587e-06
346,0.146,-5.279e-06
347,0.147,-4.971e-06
348,0.148,-4.664e-06
349,0.149,-4.356e-06
350,0.15,-4.045e-06
351,0.151,-3.73e-06
352,0.152,-3.411e-06
353,0.153,-3.087e-06
354,0.154,-2.76e-06
355,0.155,-2.431e-06
356,0.156,-2.101e-06
357,0.157,-1.771e-06
358,0.158,-1.438e-06
359,0.159,-1.096e-06
360,0.16,-7.418e-07
361,0.161,-3.81e-07
362,0.162,-2.14e-08
363,0.163,3.324e-07
364,0.164,6.789e-07
365,0.165,1.025e-06
366,0.166,1.379e-06
367,0.167,1.742e-06
368,0.168,2.108e-06
369,0.169,2.47e-06
370,0.17,2.829e-06
371,0.171,3.187e-06
372,0.172,3.556e-06
373,0.173,3.948e-06
374,0.174,4.351e-06
375,0.175,4.754e-06
376,0.176,5.154e-06
377,0.177,5.549e-06
378,0.178,5.948e-06
379,0.179,6.36e-06
380,0.18,6.774e-06
381,0.181,7.183e-06
382,0.182,7.589e-06
383,0.183,7.998e-06
384,0.184,8.418e-06
385,0.185,8.859e-06
386,0.186,9.307e-06
387,0.187,9.749e-06
388,0.188,1.019e-05
389,0.189,1.062e-05
390,0.19,1.106e-05
391,0.191,1.152e-05
392,0.192,1.197e-05
393,0.193,1.241e-05
394,0.194,1.286e-05
395,0.195,1.331e-05
396,0.196,1.379e-05
397,0.197,1.427e-05
398,0.198,1.476e-05
399,0.199,1.523e-05
400,0.2,1.571e-05
401,0.201,1.619e-05
402,0.202,1.667e-05
403,0.203,1.714e-05
404,0.204,1.762e-05
405,0.205,1.812e-05
406,0.206,1.864e-05
407,0.207,1.916e-05
408,0.208,1.968e-05
409,0.209,2.018e-05
410,0.21,2.068e-05
411,0.211,2.118e-05
412,0.212,2.17e-05
413,0.213,2.221e-05
414,0.214,2.273e-05
415,0.215,2.326e-05
416,0.216,2.379e-05
417,0.217,2.433e-05
418,0.218,2.487e-05
419,0.219,2.542e-05
420,0.22,2.596e-05
421,0.221,2.65e-05
422,0.222,2.704e-05
