Sequence,Potential_V,Current_A
213,0.013,-2.721e-05
214,0.014,-2.712e-05
215,0.015,-2.704e-05
216,0.016,-2.695e-05
217,0.017,-2.687e-05
218,0.018,-2.677e-05
219,0.019,-2.668e-05
220,0.02,-2.659e-05
221,0.021,-2.649e-05
222,0.022,-2.64e-05
223,0.023,-2.631e-05
224,0.024,-2.622e-05
225,0.025,-2.614e-05
226,0.026,-2.606e-05
227,0.027,-2.599e-05
228,0.028,-2.591e-05
229,0.029,-2.584e-05
230,0.03,-2.576e-05
231,0.031,-2.568e-05
232,0.032,-2.558e-05
233,0.033,-2.548e-05
234,0.034,-2.536e-05
235,0.035,-2.525e-05
236,0.036,-2.514e-05
237,0.037,-2.503e-05
238,0.038,-2.493e-05
239,0.039,-2.484e-05
240,0.04,-2.474e-05
241,0.041,-2.465e-05
242,0.042,-2.455e-05
243,0.043,-2.446e-05
244,0.044,-2.435e-05
245,0.045,-2.425e-05
246,0.046,-2.414e-05
247,0.047,-2.403e-05
248,0.048,-2.393e-05
249,0.049,-2.383e-05
250,0.05,-2.374e-05
251,0.051,-2.365e-05
252,0.052,-2.355e-05
253,0.053,-2.346e-05
254,0.054,-2.336e-05
255,0.055,-2.325e-05
256,0.056,-2.314e-05
257,0.057,-2.302e-05
258,0.058,-2.29e-05
259,0.059,-2.277e-05
260,0.06,-2.265e-05
261,0.061,-2.253e-05
262,0.062,-2.242e-05
263,0.063,-2.23e-05
264,0.064,-2.219e-05
265,0.065,-2.207e-05
266,0.066,-2.195e-05
267,0.067,-2.182e-05
268,0.068,-2.17e-05
269,0.069,-2.157e-05
270,0.07,-2.145e-05
271,0.071,-2.133e-05
272,0.072,-2.121e-05
273,0.073,-2.111e-05
274,0.074,-2.1e-05
275,0.075,-2.089e-05
276,0.076,-2.077e-05
277,0.077,-2.063e-05
278,0.078,-2.047e-05
279,0.079,-2.031e-05
280,0.08,-2.015e-05
281,0.081,-1.999e-05
282,0.082,-1.985e-05
283,0.083,-1.971e-05
284,0.084,-1.956e-05
285,0.085,-1.941e-05
286,0.086,-1.924e-05
287,0.087,-1.908e-05
288,0.088,-1.892e-05
289,0.089,-1.877e-05
290,0.09,-1.862e-05
291,0.091,-1.848e-05
292,0.092,-1.832e-05
293,0.093,-1.815e-05
294,0.094,-1.797e-05
295,0.095,-1.779e-05
296,0.096,-1.762e-05
297,0.097,-1.744e-05
298,0.098,-1.726e-05
299,0.099,-1.707e-05
300,0.1,-1.687e-05
301,0.101,-1.668e-05
302,0.102,-1.649e-05
303,0.103,-1.631e-05
304,0.104,-1.612e-05
305,0.105,-1.592e-05
306,0.106,-1.57e-05
307,0.107,-1.548e-05
308,0.108,-1.525e-05
309,0.109,-1.502e-05
310,0.11,-1.479e-05
311,0.111,-1.456e-05
312,0.112,-1.433e-05
313,0.113,-1.41e-05
314,0.114,-1.386e-05
315,0.115,-1.363e-05
316,0.116,-1.338e-05
317,0.117,-1.313e-05
318,0.118,-1.287e-05
319,0.119,-1.261e-05
320,0.12,-1.235e-05
321,0.121,-1.208e-05
322,0.122,-1.181e-05
323,0.123,-1.153e-05
324,0.124,-1.125e-05
325,0.125,-1.096e-05
326,0.126,-1.066e-05
327,0.127,-1.035e-05
328,0.128,-1.003e-05
329,0.129,-9.719e-06
330,0.13,-9.406e-06
331,0.131,-9.091e-06
332,0.132,-8.768e-06
333,0.133,-8.435e-06
334,0.134,-8.092e-06
335,0.135,-7.743e-06
336,0.136,-7.391e-06
337,0.137,-7.039e-06
338,0.138,-6.687e-06
339,0.139,-6.329e-06
340,0.14,-5.96e-06
341,0.141,-5.577e-06
342,0.142,-5.188e-06
343,0.143,-4.793e-06
344,0.144,-4.395e-06
345,0.145,-3.994e-06
346,0.146,-3.584e-06
347,0.147,-3.163e-06
348,0.148,-2.74e-06
349,0.149,-2.312e-06
350,0.15,-1.88e-06
351,0.151,-1.443e-06
352,0.152,-9.894e-07
353,0.153,-5.215e-07
354,0.154,-5.01e-08
355,0.155,4.234e-07
356,0.156,8.95e-07
357,0.157,1.368e-06
358,0.158,1.846e-06
359,0.159,2.328e-06
360,0.16,2.814e-06
361,0.161,3.31e-06
362,0.162,3.822e-06
363,0.163,4.353e-06
364,0.164,4.894e-06
365,0.165,5.442e-06
366,0.166,5.996e-06
367,0.167,6.553e-06
368,0.168,7.112e-06
369,0.169,7.678e-06
370,0.17,8.251e-06
371,0.171,8.84e-06
372,0.172,9.442e-06
373,0.173,1.005e-05
374,0.174,1.066e-05
375,0.175,1.127e-05
376,0.176,1.189e-05
377,0.177,1.251e-05
378,0.178,1.314e-05
379,0.179,1.379e-05
380,0.18,1.445e-05
381,0.181,1.512e-05
382,0.182,1.579e-05
383,0.183,1.645e-05
384,0.184,1.711e-05
385,0.185,1.779e-05
386,0.186,1.848e-05
387,0.187,1.919e-05
388,0.188,1.99e-05
389,0.189,2.061e-05
390,0.19,2.132e-05
391,0.191,2.204e-05
392,0.192,2.277e-05
393,0.193,2.351e-05
394,0.194,2.427e-05
395,0.195,2.503e-05
396,0.196,2.579e-05
397,0.197,2.655e-05
398,0.198,2.731e-05
399,0.199,2.807e-05
400,0.2,2.885e-05
401,0.201,2.964e-05
402,0.202,3.043e-05
403,0.203,3.125e-05
404,0.204,3.207e-05
405,0.205,3.289e-05
406,0.206,3.373e-05
407,0.207,3.457e-05
408,0.208,3.54e-05
409,0.209,3.623e-05
410,0.21,3.706e-05
411,0.211,3.79e-05
412,0.212,3.875e-05
413,0.213,3.96e-05
414,0.214,4.045e-05
415,0.215,4.13e-05
416,0.216,4.216e-05
417,0.217,4.303e-05
418,0.218,4.39e-05
419,0.219,4.478e-05
420,0.22,4.566e-05
421,0.221,4.653e-05
422,0.222,4.741e-05
423,0.223,4.829e-05
424,0.224,4.918e-05
425,0.225,5.008e-05
426,0.226,5.098e-05
427,0.227,5.188e-05
428,0.228,5.278e-05
429,0.229,5.369e-05
430,0.23,5.461e-05
431,0.231,5.552e-05
432,0.232,5.642e-05
433,0.233,5.733e-05
434,0.234,5.824e-05
435,0.235,5.915e-05
436,0.236,6.006e-05
437,0.237,6.096e-05
438,0.238,6.187e-05
439,0.239,6.279e-05
440,0.24,6.372e-05
441,0.241,6.464e-05
442,0.242,6.556e-05
443,0.243,6.648e-05
444,0.244,6.74e-05
445,0.245,6.833e-05
446,0.246,6.925e-05
447,0.247,7.018e-05
448,0.248,7.11e-05
449,0.249,7.203e-05
450,0.25,7.295e-05
451,0.251,7.387e-05
452,0.252,7.479e-05
453,0.253,7.571e-05
454,0.254,7.662e-05
455,0.255,7.752e-05
456,0.256,7.841e-05
457,0.257,7.93e-05
458,0.258,8.018e-05
459,0.259,8.106e-05
460,0.26,8.196e-05
461,0.261,8.287e-05
462,0.262,8.378e-05
463,0.263,8.467e-05
464,0.264,8.556e-05
465,0.265,8.644e-05
466,0.266,8.733e-05
467,0.267,8.821e-05
468,0.268,8.908e-05
469,0.269,8.995e-05
470,0.27,9.08e-05
471,0.271,9.165e-05
472,0.272,9.251e-05
473,0.273,9.336e-05
474,0.274,9.421e-05
475,0.275,9.505e-05
476,0.276,9.589e-05
477,0.277,9.672e-05
478,0.278,9.754e-05
479,0.279,9.835e-05
480,0.28,9.914e-05
481,0.281,9.993e-05
482,0.282,0.0001007
483,0.283,0.0001015
484,0.284,0.0001023
485,0.285,0.0001031
486,0.286,0.0001039
487,0.287,0.0001046
488,0.288,0.0001054
489,0.289,0.0001061
490,0.29,0.0001068
491,0.291,0.0001076
492,0.292,0.0001083
493,0.293,0.000109
494,0.294,0.0001097
495,0.295,0.0001104
496,0.296,0.0001111
497,0.297,0.0001118
498,0.298,0.0001124
499,0.299,0.0001131
500,0.3,0.0001138
501,0.301,0.0001144
502,0.302,0.000115
503,0.303,0.0001157
504,0.304,0.0001163
505,0.305,0.0001169
506,0.306,0.0001175
507,0.307,0.000118
508,0.308,0.0001186
509,0.309,0.0001192
510,0.31,0.0001197
511,0.311,0.0001202
512,0.312,0.0001208
513,0.313,0.0001213
514,0.314,0.0001218
515,0.315,0.0001223
516,0.316,0.0001228
517,0.317,0.0001233
518,0.318,0.0001237
519,0.319,0.0001242
520,0.32,0.0001246
521,0.321,0.000125
522,0.322,0.0001254
523,0.323,0.0001259
524,0.324,0.0001263
525,0.325,0.0001267
526,0.326,0.000127
527,0.327,0.0001274
528,0.328,0.0001277
529,0.329,0.0001281
530,0.33,0.0001284
531,0.331,0.0001287
532,0.332,0.000129
533,0.333,0.0001293
534,0.334,0.0001296
535,0.335,0.0001298
536,0.336,0.0001301
537,0.337,0.0001303
538,0.338,0.0001306
539,0.339,0.0001308
540,0.34,0.000131
541,0.341,0.0001312
542,0.342,0.0001314
543,0.343,0.0001316
544,0.344,0.0001317
545,0.345,0.0001319
546,0.346,0.000132
547,0.347,0.0001322
548,0.348,0.0001323
549,0.349,0.0001324
550,0.35,0.0001325
551,0.351,0.0001326
552,0.352,0.0001326
553,0.353,0.0001327
554,0.354,0.0001327
555,0.355,0.0001328
556,0.356,0.0001328
557,0.357,0.0001328
558,0.358,0.0001329
559,0.359,0.0001329
560,0.36,0.0001329
561,0.361,0.0001328
562,0.362,0.0001328
563,0.363,0.0001328
564,0.364,0.0001327
565,0.365,0.0001327
566,0.366,0.0001326
567,0.367,0.0001325
568,0.368,0.0001325
569,0.369,0.0001324
570,0.37,0.0001323
571,0.371,0.0001322
572,0.372,0.000132
573,0.373,0.0001319
574,0.374,0.0001318
575,0.375,0.0001317
576,0.376,0.0001315
577,0.377,0.0001314
578,0.378,0.0001312
579,0.379,0.000131
580,0.38,0.0001308
581,0.381,0.0001306
582,0.382,0.0001304
583,0.383,0.0001302
584,0.384,0.00013
585,0.385,0.0001298
586,0.386,0.0001296
587,0.387,0.0001294
588,0.388,0.0001292
589,0.389,0.000129
590,0.39,0.0001287
591,0.391,0.0001285
592,0.392,0.0001282
593,0.393,0.000128
594,0.394,0.0001277
595,0.395,0.0001274
596,0.396,0.0001272
597,0.397,0.0001269
598,0.398,0.0001266
599,0.399,0.0001264
600,0.4,0.0001261
601,0.401,0.0001258
602,0.402,0.0001255
603,0.403,0.0001252
604,0.404,0.0001249
605,0.405,0.0001246
606,0.406,0.0001243
607,0.407,0.000124
608,0.408,0.0001237
609,0.409,0.0001234
610,0.41,0.000123
611,0.411,0.0001227
612,0.412,0.0001224
613,0.413,0.0001221
614,0.414,0.0001217
615,0.415,0.0001214
616,0.416,0.0001211
617,0.417,0.0001208
618,0.418,0.0001204
619,0.419,0.0001201
620,0.42,0.0001198
621,0.421,0.0001195
622,0.422,0.0001192
623,0.423,0.0001188
624,0.424,0.0001185
625,0.425,0.0001181
626,0.426,0.0001178
627,0.427,0.0001175
628,0.428,0.0001172
629,0.429,0.0001168
630,0.43,0.0001165
631,0.431,0.0001161
632,0.432,0.0001158
633,0.433,0.0001154
634,0.434,0.0001151
635,0.435,0.0001148
636,0.436,0.0001144
637,0.437,0.0001141
638,0.438,0.0001138
639,0.439,0.0001134
640,0.44,0.0001131
641,0.441,0.0001127
642,0.442,0.0001124
643,0.443,0.0001121
644,0.444,0.0001117
645,0.445,0.0001114
646,0.446,0.000111
647,0.447,0.0001107
648,0.448,0.0001104
649,0.449,0.0001101
650,0.45,0.0001097
651,0.451,0.0001094
652,0.452,0.0001091
653,0.453,0.0001087
654,0.454,0.0001084
655,0.455,0.0001081
656,0.456,0.0001078
657,0.457,0.0001074
658,0.458,0.0001071
659,0.459,0.0001068
660,0.46,0.0001064
661,0.461,0.0001061
662,0.462,0.0001058
663,0.463,0.0001055
664,0.464,0.0001052
665,0.465,0.0001049
666,0.466,0.0001046
667,0.467,0.0001042
668,0.468,0.0001039
669,0.469,0.0001036
670,0.47,0.0001033
671,0.471,0.000103
672,0.472,0.0001027
673,0.473,0.0001024
674,0.474,0.0001021
675,0.475,0.0001017
676,0.476,0.0001014
677,0.477,0.0001011
678,0.478,0.0001008
679,0.479,0.0001005
680,0.48,0.0001002
681,0.481,9.996e-05
682,0.482,9.967e-05
683,0.483,9.938e-05
684,0.484,9.908e-05
685,0.485,9.88e-05
686,0.486,9.852e-05
687,0.487,9.824e-05
688,0.488,9.796e-05
689,0.489,9.769e-05
690,0.49,9.74e-05
691,0.491,9.711e-05
692,0.492,9.682e-05
693,0.493,9.653e-05
694,0.494,9.624e-05
695,0.495,9.597e-05
696,0.496,9.571e-05
697,0.497,9.545e-05
698,0.498,9.518e-05
699,0.499,9.491e-05
700,0.5,9.464e-05
701,0.501,9.437e-05
702,0.502,9.41e-05
703,0.503,9.383e-05
704,0.504,9.357e-05
705,0.505,9.331e-05
706,0.506,9.306e-05
707,0.507,9.281e-05
708,0.508,9.255e-05
709,0.509,9.229e-05
710,0.51,9.202e-05
711,0.511,9.175e-05
712,0.512,9.148e-05
713,0.513,9.124e-05
714,0.514,9.1e-05
715,0.515,9.077e-05
716,0.516,9.054e-05
717,0.517,9.029e-05
718,0.518,9.005e-05
719,0.519,8.981e-05
720,0.52,8.957e-05
721,0.521,8.933e-05
722,0.522,8.909e-05
723,0.523,8.886e-05
724,0.524,8.862e-05
725,0.525,8.839e-05
726,0.526,8.816e-05
727,0.527,8.793e-05
728,0.528,8.77e-05
729,0.529,8.747e-05
730,0.53,8.724e-05
731,0.531,8.7e-05
732,0.532,8.676e-05
733,0.533,8.653e-05
734,0.534,8.632e-05
735,0.535,8.611e-05
736,0.536,8.59e-05
737,0.537,8.569e-05
738,0.538,8.546e-05
739,0.539,8.524e-05
740,0.54,8.503e-05
741,0.541,8.482e-05
742,0.542,8.461e-05
743,0.543,8.44e-05
744,0.544,8.418e-05
745,0.545,8.397e-05
746,0.546,8.377e-05
747,0.547,8.357e-05
748,0.548,8.337e-05
749,0.549,8.317e-05
750,0.55,8.296e-05
751,0.551,8.276e-05
752,0.552,8.256e-05
753,0.553,8.236e-05
754,0.554,8.216e-05
755,0.555,8.195e-05
756,0.556,8.174e-05
757,0.557,8.154e-05
758,0.558,8.135e-05
759,0.559,8.117e-05
760,0.56,8.098e-05
761,0.561,8.079e-05
762,0.562,8.059e-05
763,0.563,8.039e-05
764,0.564,8.021e-05
765,0.565,8.003e-05
766,0.566,7.986e-05
767,0.567,7.969e-05
768,0.568,7.951e-05
769,0.569,7.934e-05
770,0.57,7.917e-05
771,0.571,7.901e-05
772,0.572,7.885e-05
773,0.573,7.869e-05
774,0.574,7.852e-05
775,0.575,7.834e-05
776,0.576,7.815e-05
777,0.577,7.798e-05
778,0.578,7.781e-05
779,0.579,7.764e-05
780,0.58,7.747e-05
781,0.581,7.729e-05
782,0.582,7.71e-05
783,0.583,7.691e-05
784,0.584,7.673e-05
785,0.585,7.658e-05
786,0.586,7.644e-05
787,0.587,7.63e-05
788,0.588,7.615e-05
789,0.589,7.598e-05
790,0.59,7.582e-05
791,0.591,7.565e-05
792,0.592,7.549e-05
793,0.593,7.533e-05
794,0.594,7.518e-05
795,0.595,7.502e-05
796,0.596,7.486e-05
797,0.597,7.469e-05
798,0.598,7.452e-05
799,0.599,7.436e-05
800,0.6,7.421e-05
801,0.601,7.407e-05
802,0.602,7.393e-05
803,0.603,7.379e-05
804,0.604,7.364e-05
805,0.605,7.349e-05
806,0.606,7.333e-05
807,0.607,7.318e-05
808,0.608,7.303e-05
809,0.609,7.289e-05
810,0.61,7.275e-05
811,0.611,7.26e-05
812,0.612,7.245e-05
813,0.613,7.229e-05
814,0.614,7.213e-05
815,0.615,7.197e-05
816,0.616,7.183e-05
817,0.617,7.17e-05
818,0.618,7.158e-05
819,0.619,7.147e-05
820,0.62,7.134e-05
821,0.621,7.121e-05
822,0.622,7.108e-05
823,0.623,7.093e-05
824,0.624,7.079e-05
825,0.625,7.065e-05
826,0.626,7.052e-05
827,0.627,7.039e-05
828,0.628,7.026e-05
829,0.629,7.013e-05
830,0.63,6.999e-05
831,0.631,6.985e-05
832,0.632,6.971e-05
833,0.633,6.957e-05
834,0.634,6.944e-05
835,0.635,6.931e-05
836,0.636,6.92e-05
837,0.637,6.909e-05
838,0.638,6.897e-05
839,0.639,6.885e-05
840,0.64,6.872e-05
841,0.641,6.859e-05
842,0.642,6.846e-05
843,0.643,6.833e-05
844,0.644,6.821e-05
845,0.645,6.809e-05
846,0.646,6.797e-05
847,0.647,6.786e-05
848,0.648,6.774e-05
849,0.649,6.762e-05
850,0.65,6.748e-05
851,0.651,6.735e-05
852,0.652,6.721e-05
853,0.653,6.708e-05
854,0.654,6.697e-05
855,0.655,6.686e-05
856,0.656,6.676e-05
857,0.657,6.667e-05
858,0.658,6.658e-05
859,0.659,6.647e-05
860,0.66,6.636e-05
861,0.661,6.625e-05
862,0.662,6.613e-05
863,0.663,6.601e-05
864,0.664,6.59e-05
865,0.665,6.579e-05
866,0.666,6.568e-05
867,0.667,6.557e-05
868,0.668,6.547e-05
869,0.669,6.536e-05
870,0.67,6.525e-05
871,0.671,6.514e-05
872,0.672,6.503e-05
873,0.673,6.492e-05
874,0.674,6.48e-05
875,0.675,6.469e-05
876,0.676,6.458e-05
877,0.677,6.448e-05
878,0.678,6.438e-05
879,0.679,6.429e-05
880,0.68,6.42e-05
881,0.681,6.41e-05
882,0.682,6.401e-05
883,0.683,6.391e-05
884,0.684,6.38e-05
885,0.685,6.37e-05
886,0.686,6.36e-05
887,0.687,6.349e-05
888,0.688,6.339e-05
889,0.689,6.33e-05
890,0.69,6.32e-05
891,0.691,6.31e-05
892,0.692,6.301e-05
893,0.693,6.291e-05
894,0.694,6.281e-05
895,0.695,6.271e-05
896,0.696,6.261e-05
897,0.697,6.25e-05
898,0.698,6.239e-05
899,0.699,6.228e-05
900,0.7,6.217e-05
901,0.701,6.208e-05
902,0.702,6.2e-05
903,0.703,6.192e-05
904,0.704,6.185e-05
905,0.705,6.178e-05
906,0.706,6.17e-05
907,0.707,6.162e-05
908,0.708,6.153e-05
909,0.709,6.144e-05
910,0.71,6.135e-05
911,0.711,6.126e-05
912,0.712,6.117e-05
913,0.713,6.108e-05
914,0.714,6.099e-05
915,0.715,6.09e-05
916,0.716,6.081e-05
917,0.717,6.072e-05
918,0.718,6.064e-05
919,0.719,6.055e-05
920,0.72,6.047e-05
921,0.721,6.039e-05
922,0.722,6.031e-05
923,0.723,6.022e-05
924,0.724,6.013e-05
925,0.725,6.004e-05
926,0.726,5.995e-05
927,0.727,5.986e-05
928,0.728,5.977e-05
929,0.729,5.969e-05
930,0.73,5.96e-05
931,0.731,5.953e-05
932,0.732,5.945e-05
933,0.733,5.938e-05
934,0.734,5.93e-05
935,0.735,5.923e-05
936,0.736,5.915e-05
937,0.737,5.907e-05
938,0.738,5.899e-05
