Sequence,Potential_V,Current_A
213,0.013,-3.432e-05
214,0.014,-3.421e-05
215,0.015,-3.411e-05
216,0.016,-3.4e-05
217,0.017,-3.389e-05
218,0.018,-3.378e-05
219,0.019,-3.367e-05
220,0.02,-3.357e-05
221,0.021,-3.347e-05
222,0.022,-3.337e-05
223,0.023,-3.328e-05
224,0.024,-3.318e-05
225,0.025,-3.307e-05
226,0.026,-3.296e-05
227,0.027,-3.284e-05
228,0.028,-3.271e-05
229,0.029,-3.259e-05
230,0.03,-3.247e-05
231,0.031,-3.235e-05
232,0.032,-3.223e-05
233,0.033,-3.212e-05
234,0.034,-3.201e-05
235,0.035,-3.189e-05
236,0.036,-3.178e-05
237,0.037,-3.165e-05
238,0.038,-3.153e-05
239,0.039,-3.14e-05
240,0.04,-3.128e-05
241,0.041,-3.116e-05
242,0.042,-3.104e-05
243,0.043,-3.093e-05
244,0.044,-3.083e-05
245,0.045,-3.072e-05
246,0.046,-3.061e-05
247,0.047,-3.048e-05
248,0.048,-3.034e-05
249,0.049,-3.019e-05
250,0.05,-3.004e-05
251,0.051,-2.989e-05
252,0.052,-2.974e-05
253,0.053,-2.961e-05
254,0.054,-2.947e-05
255,0.055,-2.933e-05
256,0.056,-2.919e-05
257,0.057,-2.904e-05
258,0.058,-2.888e-05
259,0.059,-2.874e-05
260,0.06,-2.86e-05
261,0.061,-2.846e-05
262,0.062,-2.833e-05
263,0.063,-2.818e-05
264,0.064,-2.802e-05
265,0.065,-2.785e-05
266,0.066,-2.768e-05
267,0.067,-2.75e-05
268,0.068,-2.733e-05
269,0.069,-2.716e-05
270,0.07,-2.699e-05
271,0.071,-2.682e-05
272,0.072,-2.664e-05
273,0.073,-2.646e-05
274,0.074,-2.629e-05
275,0.075,-2.612e-05
276,0.076,-2.596e-05
277,0.077,-2.579e-05
278,0.078,-2.56e-05
279,0.079,-2.539e-05
280,0.08,-2.518e-05
281,0.081,-2.496e-05
282,0.082,-2.475e-05
283,0.083,-2.453e-05
284,0.084,-2.432e-05
285,0.085,-2.41e-05
286,0.086,-2.389e-05
287,0.087,-2.368e-05
288,0.088,-2.346e-05
289,0.089,-2.324e-05
290,0.09,-2.3e-05
291,0.091,-2.274e-05
292,0.092,-2.249e-05
293,0.093,-2.223e-05
294,0.094,-2.197e-05
295,0.095,-2.171e-05
