Sequence,Potential_V,Current_A
213,0.013,-2.439e-05
214,0.014,-2.433e-05
215,0.015,-2.426e-05
216,0.016,-2.419e-05
217,0.017,-2.412e-05
218,0.018,-2.404e-05
219,0.019,-2.397e-05
220,0.02,-2.39e-05
221,0.021,-2.384e-05
222,0.022,-2.377e-05
223,0.023,-2.371e-05
224,0.024,-2.364e-05
225,0.025,-2.358e-05
226,0.026,-2.352e-05
227,0.027,-2.346e-05
228,0.028,-2.339e-05
229,0.029,-2.331e-05
230,0.03,-2.323e-05
231,0.031,-2.315e-05
232,0.032,-2.307e-05
233,0.033,-2.298e-05
234,0.034,-2.29e-05
235,0.035,-2.281e-05
236,0.036,-2.273e-05
237,0.037,-2.264e-05
238,0.038,-2.256e-05
239,0.039,-2.248e-05
240,0.04,-2.24e-05
241,0.041,-2.232e-05
242,0.042,-2.223e-05
243,0.043,-2.214e-05
244,0.044,-2.205e-05
245,0.045,-2.195e-05
246,0.046,-2.184e-05
247,0.047,-2.174e-05
248,0.048,-2.164e-05
249,0.049,-2.153e-05
250,0.05,-2.143e-05
251,0.051,-2.133e-05
252,0.052,-2.123e-05
253,0.053,-2.114e-05
254,0.054,-2.104e-05
255,0.055,-2.095e-05
256,0.056,-2.083e-05
257,0.057,-2.071e-05
258,0.058,-2.057e-05
259,0.059,-2.043e-05
260,0.06,-2.029e-05
261,0.061,-2.016e-05
262,0.062,-2.004e-05
263,0.063,-1.993e-05
264,0.064,-1.981e-05
265,0.065,-1.97e-05
266,0.066,-1.959e-05
267,0.067,-1.947e-05
268,0.068,-1.934e-05
269,0.069,-1.92e-05
270,0.07,-1.906e-05
271,0.071,-1.892e-05
272,0.072,-1.88e-05
273,0.073,-1.87e-05
274,0.074,-1.861e-05
275,0.075,-1.851e-05
276,0.076,-1.84e-05
277,0.077,-1.826e-05
278,0.078,-1.81e-05
279,0.079,-1.793e-05
280,0.08,-1.775e-05
281,0.081,-1.758e-05
282,0.082,-1.74e-05
283,0.083,-1.721e-05
284,0.084,-1.702e-05
285,0.085,-1.682e-05
286,0.086,-1.662e-05
287,0.087,-1.642e-05
288,0.088,-1.622e-05
289,0.089,-1.601e-05
290,0.09,-1.578e-05
291,0.091,-1.554e-05
292,0.092,-1.529e-05
293,0.093,-1.505e-05
294,0.094,-1.48e-05
295,0.095,-1.454e-05
296,0.096,-1.427e-05
297,0.097,-1.399e-05
298,0.098,-1.371e-05
299,0.099,-1.343e-05
300,0.1,-1.314e-05
301,0.101,-1.285e-05
302,0.102,-1.255e-05
303,0.103,-1.225e-05
304,0.104,-1.194e-05
305,0.105,-1.161e-05
306,0.106,-1.126e-05
307,0.107,-1.09e-05
308,0.108,-1.053e-05
309,0.109,-1.015e-05
310,0.11,-9.765e-06
311,0.111,-9.372e-06
312,0.112,-8.976e-06
313,0.113,-8.567e-06
314,0.114,-8.141e-06
315,0.115,-7.707e-06
316,0.116,-7.266e-06
317,0.117,-6.816e-06
318,0.118,-6.358e-06
319,0.119,-5.884e-06
320,0.12,-5.389e-06
321,0.121,-4.878e-06
322,0.122,-4.354e-06
323,0.123,-3.818e-06
324,0.124,-3.276e-06
325,0.125,-2.729e-06
326,0.126,-2.169e-06
327,0.127,-1.593e-06
328,0.128,-9.967e-07
329,0.129,-3.805e-07
330,0.13,2.491e-07
331,0.131,8.832e-07
332,0.132,1.526e-06
333,0.133,2.188e-06
334,0.134,2.869e-06
335,0.135,3.565e-06
336,0.136,4.279e-06
337,0.137,5.004e-06
338,0.138,5.74e-06
339,0.139,6.5e-06
340,0.14,7.279e-06
341,0.141,8.075e-06
342,0.142,8.899e-06
343,0.143,9.744e-06
344,0.144,1.06e-05
345,0.145,1.148e-05
346,0.146,1.236e-05
347,0.147,1.326e-05
348,0.148,1.419e-05
349,0.149,1.513e-05
350,0.15,1.609e-05
351,0.151,1.706e-05
352,0.152,1.804e-05
353,0.153,1.905e-05
354,0.154,2.007e-05
355,0.155,2.111e-05
356,0.156,2.216e-05
357,0.157,2.324e-05
358,0.158,2.434e-05
359,0.159,2.547e-05
360,0.16,2.66e-05
361,0.161,2.774e-05
362,0.162,2.89e-05
363,0.163,3.008e-05
364,0.164,3.129e-05
365,0.165,3.251e-05
366,0.166,3.376e-05
367,0.167,3.501e-05
368,0.168,3.628e-05
369,0.169,3.756e-05
370,0.17,3.886e-05
371,0.171,4.018e-05
372,0.172,4.152e-05
373,0.173,4.288e-05
374,0.174,4.426e-05
375,0.175,4.565e-05
376,0.176,4.704e-05
377,0.177,4.843e-05
378,0.178,4.985e-05
379,0.179,5.129e-05
380,0.18,5.274e-05
381,0.181,5.422e-05
382,0.182,5.57e-05
